ID,PROVINCE,NAME_EN,WIKIDATA,MS_FB_PARE,MS_FB
NA-140,Punjab,NA-140 (Kasur-IV),Q55624357,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:140
NA-130,Punjab,NA-130 (Lahore-VIII),Q55624345,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:130
NA-60,Punjab,NA-60 Rawalpindi-IV,Q58401091,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:60
NA-72,Punjab,NA-72 Sialkot-I,Q58401128,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:72
NA-256,Sindh,NA-256 Central Karachi-IV,Q58401658,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:256
NA-198,Sindh,NA-198 Shikarpur-I,Q58401474,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:198
NA-176,Punjab,NA-176 RYK-II,Q58401427,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:176
NA-238,Sindh,NA-238 (Malir-III),Q55624393,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:238
NA-108,Punjab,NA-108 Faisalabad-VIII,Q58401259,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:108
NA-112,Punjab,NA-112 Toba Tek Singh-II,Q58401276,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:112
NA-258,Balochistan,NA-258 Loralai-cum-Musakhel-cum-Ziarat-cum-Dukki-cum-Harnai,Q58401665,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:258
NA-223,Sindh,NA-223 Matiari,Q58401558,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:223
NA-271,Balochistan,NA-271 (Kech),Q55624412,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:271
NA-19,Khyber Pakhtunkhwa,NA-19 Swabi-II,Q58401756,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:19
NA-195,Punjab,NA-195 (Rajanpur-III),Q55624386,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:195
NA-114,Punjab,NA-114 Jhang-I,Q58401281,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:114
NA-237,Sindh,NA-237 (Malir-II),Q55624392,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:237
NA-22,Khyber Pakhtunkhwa,NA-22 Mardan-III,Q58401764,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:22
NA-105,Punjab,NA-105 Faisalabad-V,Q58401253,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:105
NA-146,Punjab,NA-146 Pakpattan-II,Q58401343,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:146
NA-168,Punjab,NA-168 Bahawalnagar-III,Q58401402,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:168
NA-204,Sindh,NA-204 Ghotki-I,Q58401491,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:204
NA-218,Sindh,NA-218 Mirpur Khas-I,Q58401532,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:218
NA-185,Punjab,NA-185 Muzaffargarh-V,Q58401442,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:185
NA-65,Punjab,NA-65 Chakwal-II,Q58401114,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:65
NA-23,Khyber Pakhtunkhwa,NA-23 Charsada-I,Q58401767,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:23
NA-73,Punjab,NA-73 Sialkot-II,Q58401131,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:73
NA-225,Sindh,NA-225 Hyderabad-I,Q58401564,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:225
NA-255,Sindh,NA-255 Central Karachi-III,Q58401655,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:255
NA-124,Punjab,NA-124 Lahore-II,Q58401312,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:124
NA-93,Punjab,NA-93 Khushab-I,Q58401211,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:93
NA-188,Punjab,NA-188 Layyah-II,Q58401457,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:188
NA-158,Punjab,NA-158 Multan-V,Q58401372,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:158
NA-226,Sindh,NA-226 Hyderabad-II,Q58401566,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:226
NA-1,Khyber Pakhtunkhwa,NA-1 Chitral,Q58401697,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:1
NA-27,Khyber Pakhtunkhwa,NA-27 Peshawar-I,Q58401782,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:27
NA-109,Punjab,NA-109 Faisalabad-IX,Q58401261,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:109
NA-219,Sindh,NA-219 Mirpur Khas-II,Q58401536,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:219
NA-222,Sindh,NA-222 Tharparkar-II,Q58401554,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:222
NA-269,Balochistan,NA-269 (Khuzdar),Q58400849,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:269
NA-236,Sindh,NA-236 Malir-I,Q58401603,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:236
NA-66,Punjab,NA-66 Jehlum-I,Q58401115,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:66
NA-211,Sindh,NA-211 Naushahro Feroz-I,Q58401518,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:211
NA-39,Khyber Pakhtunkhwa,NA-39 DI Khan-II,Q58401811,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:39
NA-68,Punjab,NA-68 Gujrat-I,Q58401120,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:68
NA-52,Islamabad Capital Territory,NA 52 Islamabad-I,Q58401853,country:pk/federal-territory:is,country:pk/federal-territory:is/national-assembly-constituency:52
NA-101,Punjab,NA-101 Faisalabad-I,Q58401231,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:101
NA-8,Khyber Pakhtunkhwa,NA-8 Malakand,Q58401719,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:8
NA-167,Punjab,NA-167 Bahawalnagar-II,Q58401399,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:167
NA-56,Punjab,NA-56 Attock-II,Q58400818,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:56
NA-144,Punjab,NA-144 (Okara-IV),Q55624369,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:144
NA-131,Punjab,NA-131 (Lahore-IX),Q55624346,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:131
NA-119,Punjab,NA-119 Sheikhupura-I,Q58401291,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:119
NA-24,Khyber Pakhtunkhwa,NA-24 Charsada-II,Q58401771,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:24
NA-115,Punjab,NA-115 Jhang-II,Q58401282,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:115
NA-239,Sindh,NA-239 Korangi-I,Q58401605,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:239
NA-214,Sindh,NA-214 Shaheed Benazirabad-II,Q58400844,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:214
NA-209,Sindh,NA-209 Khairpur-II,Q58401504,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:209
NA-83,Punjab,NA-83 Gujranwala-V,Q58401177,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:83
NA-263,Balochistan,NA-263 Kila Abdullah,Q58401672,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:263
NA-87,Punjab,NA-87 (Hafizabad),Q55624429,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:87
NA-160,Punjab,NA-160 Lodhran-I,Q58401378,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:160
NA-166,Punjab,NA-166 Bahawalnagar-I,Q58401395,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:166
NA-45,Federally Administered Tribal Areas,NA 45 Kurram-I,Q58401826,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:45
NA-180,Punjab,NA-180 RYK-VI,Q58401435,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:180
NA-231,Sindh,NA-231 Sajawal,Q58401588,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:231
NA-234,Sindh,NA-234 Dadu-I,Q58401596,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:234
NA-162,Punjab,NA-162 Vehari-I,Q58401380,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:162
NA-243,Sindh,NA-243 (Karachi East-II),Q55624395,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:243
NA-15,Khyber Pakhtunkhwa,NA-15 Abbotabad-I,Q58401738,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:15
NA-97,Punjab,NA-97 Bhakkar-I,Q58401220,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:97
NA-18,Khyber Pakhtunkhwa,NA-18 Swabi-I,Q58401753,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:18
NA-63,Punjab,NA-63 Rawalpindi-VII,Q58401095,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:63
NA-232,Sindh,NA-232 Thatta,Q58401591,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:232
NA-135,Punjab,NA-135 (Lahore-XIII),Q55624354,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:135
NA-174,Punjab,NA-174 Bahawalpur-V,Q58401413,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:174
NA-196,Sindh,NA-196 Jacobabad,Q58401471,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:196
NA-153,Punjab,NA-153 Khanewal-IV,Q58400821,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:153
NA-28,Khyber Pakhtunkhwa,NA-28 Peshawar-II,Q58401785,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:28
NA-13,Khyber Pakhtunkhwa,NA-13 Mansehra-I,Q58401732,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:13
NA-89,Punjab,NA-89 Sargodha-II,Q58401191,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:89
NA-128,Punjab,NA-128 (Lahore-VI),Q55624342,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:128
NA-96,Punjab,NA-96 Mianwali-II,Q58401217,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:96
NA-155,Punjab,NA-155 Multan-II,Q58401366,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:155
NA-125,Punjab,NA-125 Lahore-III,Q58401315,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:125
NA-241,Sindh,NA-241 Korangi-III,Q58401621,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:241
NA-134,Punjab,NA-134 (Lahore-XII),Q55624352,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:134
NA-118,Punjab,NA-118 Nankana Sahib-II,Q58401288,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:118
NA-138,Punjab,NA-138 Kasur-II,Q58401338,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:138
NA-71,Punjab,NA-71 Gujrat-IV,Q58401126,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:71
NA-150,Punjab,NA-150 Khanewal-I,Q58401352,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:150
NA-103,Punjab,NA-103 Faisalabad-III,Q58401249,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:103
NA-111,Punjab,NA-111 Toba Tek Singh-I,Q58401273,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:111
NA-210,Sindh,NA-210 Khairpur-III,Q58401515,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:210
NA-193,Punjab,NA-193 Rajanpur-I,Q58401469,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:193
NA-133,Punjab,NA-133 Lahore-XI,Q58401335,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:133
NA-84,Punjab,NA-84 Gujranwala-VI,Q58401180,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:84
NA-151,Punjab,NA-151 Khanewal-II,Q58401365,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:151
NA-98,Punjab,NA-98 Bhakkar-II,Q58401222,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:98
NA-262,Balochistan,NA-262 (Pishin),Q55624404,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:262
NA-78,Punjab,NA-78 Narowal-II,Q58401156,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:78
NA-107,Punjab,NA-107 Faisalabad-VII,Q58401257,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:107
NA-136,Punjab,NA-136 (Lahore-XIV),Q55624356,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:136
NA-100,Punjab,NA-100 Chiniot-II,Q58401227,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:100
NA-154,Punjab,NA-154 Multan-I,Q58400822,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:154
NA-182,Punjab,NA-182 (Muzaffargarh-II),Q55624378,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:182
NA-57,Punjab,NA-57 Rawalpindi-I,Q58401085,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:57
NA-121,Punjab,NA-121 Sheikhupura-III,Q58401306,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:121
NA-35,Khyber Pakhtunkhwa,NA-35 Bannu,Q58401797,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:35
NA-152,Punjab,NA-152 Khanewal-III,Q58400819,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:152
NA-199,Sindh,NA-199 Shikarpur-II,Q58401482,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:199
NA-29,Khyber Pakhtunkhwa,NA-29 Peshawar-III,Q58400851,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:29
NA-186,Punjab,NA-186 Muzafargarh-VI,Q58401443,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:186
NA-235,Sindh,NA-235 Dadu-II,Q58401598,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:235
NA-104,Punjab,NA-104 Faisalabad-IV,Q58401251,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:104
NA-80,Punjab,NA-80 Gujranwala-II,Q58401161,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:80
NA-249,Sindh,NA-249 West Karachi-II,Q58401634,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:249
NA-37,Khyber Pakhtunkhwa,NA-37 (Tank),Q55624424,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:37
NA-77,Punjab,NA-77 Narowal-I,Q58401153,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:77
NA-157,Punjab,NA-157 Multan-IV,Q58400826,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:157
NA-268,Balochistan,NA-268 Chaghi-cum-Noshki-cum-Kharan,Q58401689,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:268
NA-233,Sindh,NA-233 Jamshoro,Q58401594,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:233
NA-179,Punjab,NA-179 RYK-V,Q58401433,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:179
NA-40,Federally Administered Tribal Areas,NA 40 Bajaur-I,Q58401814,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:40
NA-31,Khyber Pakhtunkhwa,NA-31 (Peshawar-V),Q58400853,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:31
NA-147,Punjab,NA-147 Sahiwal-I,Q58401345,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:147
NA-113,Punjab,NA-113 Toba Tek Singh-III,Q58401279,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:113
NA-161,Punjab,NA-161 Lodhran-II,Q58401379,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:161
NA-75,Punjab,NA-75 Sialkot-IV,Q58401149,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:75
NA-261,Balochistan,NA-261 (Jafarabad-cum-Sohbatpur),Q55624402,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:261
NA-265,Balochistan,NA-265 Quetta-II,Q58401684,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:265
NA-227,Sindh,NA-227 Hyderabad-III,Q58401568,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:227
NA-149,Punjab,NA-149 Sahiwal-III,Q58401349,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:149
NA-79,Punjab,NA-79 Gujranwala-I,Q58401158,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:79
NA-122,Punjab,NA-122 Sheikhupura-IV,Q58401308,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:122
NA-36,Khyber Pakhtunkhwa,NA-36 Lucky Marwat,Q58401806,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:36
NA-7,Khyber Pakhtunkhwa,NA-7 Lowe Dir-II,Q58401717,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:7
